150.0000.201900.000000.130.0000000                                                                                                                         	150                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
160.0000.201100.000000.000.0000000                                                                                                                         	160                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -219066.86                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200.0000.201100.000000.000.0000000                                                                                                                         	200                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -25571.27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201100.000000.000.0000000                                                                                                                         	300                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -33609139                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201120.000000.000.0000000                                                                                                                         	300                      	201120                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                  -119.24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.110.0000000                                                                                                                         	300                      	201900                   	110                      	 	 	 	 	 	 	 	01/31/2017	 	 	                793839.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.130.0000000                                                                                                                         	300                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	               3631222.73                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.140.0000000                                                                                                                         	300                      	201900                   	140                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.320.0000000                                                                                                                         	300                      	201900                   	320                      	 	 	 	 	 	 	 	01/31/2017	 	 	               1708141.66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.350.0000000                                                                                                                         	300                      	201900                   	350                      	 	 	 	 	 	 	 	01/31/2017	 	 	                   -39417                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.710.0000000                                                                                                                         	300                      	201900                   	710                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
